    
  1.51020562 0.00151021 6.07285026
1 1000 1.51020562 0.00151021 6.07285026
1 1500 1.50959500 0.00100640 13.64983285
1 2000 1.50928453 0.00075464 24.25913699
1 2500 1.50905790 0.00060362 37.89312889
1 3000 1.50903813 0.00050301 54.56576432
1 3500 1.50894735 0.00043113 74.27799999
1 4000 1.50881590 0.00037720 97.00346560
1 4500 1.50882444 0.00033529 122.75262951
1 5000 1.50875573 0.00030175 151.53928168
1 500 1.51121250 0.00302243 1.52278388
16 1000 1.51020562 0.00151021 1.09016134
16 1500 1.50959500 0.00100640 2.43029559
16 2000 1.50928453 0.00075464 3.96249196
16 2500 1.50905790 0.00060362 6.64419285
16 3000 1.50903813 0.00050301 10.32811968
16 3500 1.50894735 0.00043113 12.79086742
16 4000 1.50881590 0.00037720 17.34073351
16 4500 1.50882444 0.00033529 21.37163915
16 5000 1.50875573 0.00030175 27.22419843
16 500 1.51121250 0.00302243 0.32329011
2 1000 1.51020562 0.00151021 5.43098071
2 1500 1.50959500 0.00100640 12.46586807
2 2000 1.50928453 0.00075464 21.84610357
2 2500 1.50905790 0.00060362 33.74542769
2 3000 1.50903813 0.00050301 48.12198221
2 3500 1.50894735 0.00043113 65.01831208
2 4000 1.50881590 0.00037720 84.89389385
2 4500 1.50882444 0.00033529 106.50398959
2 5000 1.50875573 0.00030175 131.71298239
2 500 1.51121250 0.00302243 1.83443930
4 1000 1.51020562 0.00151021 2.87403546
4 1500 1.50959500 0.00100640 6.31231795
4 2000 1.50928453 0.00075464 11.66666599
4 2500 1.50905790 0.00060362 17.70828671
4 3000 1.50903813 0.00050301 25.39236368
4 3500 1.50894735 0.00043113 35.02996926
4 4000 1.50881590 0.00037720 45.17923234
4 4500 1.50882444 0.00033529 57.63623136
4 5000 1.50875573 0.00030175 70.34529745
4 500 1.51121250 0.00302243 1.10304732
8 1000 1.51020562 0.00151021 2.08012790
8 1500 1.50959500 0.00100640 4.07463476
8 2000 1.50928453 0.00075464 7.29071661
8 2500 1.50905790 0.00060362 11.23276144
8 3000 1.50903813 0.00050301 15.99290012
8 3500 1.50894735 0.00043113 21.54220237
8 4000 1.50881590 0.00037720 28.42682027
8 4500 1.50882444 0.00033529 35.65936835
8 5000 1.50875573 0.00030175 43.99067917
8 500 1.51121250 0.00302243 0.68174725
16 1000 1.51020562 0.00151021 1.02842587
16 1500 1.50959500 0.00100640 2.40832472
16 2000 1.50928453 0.00075464 4.40353804
16 2500 1.50905790 0.00060362 6.46275430
16 3000 1.50903813 0.00050301 9.80011220
16 3500 1.50894735 0.00043113 13.07368821
16 4000 1.50881590 0.00037720 17.24576705
16 4500 1.50882444 0.00033529 21.93869176
16 5000 1.50875573 0.00030175 25.53639618
16 500 1.51121250 0.00302243 0.31816533
2 1000 1.51020562 0.00151021 5.24504296
2 1500 1.50959500 0.00100640 11.79411076
2 2000 1.50928453 0.00075464 20.96774332
2 2500 1.50905790 0.00060362 32.77557606
2 3000 1.50903813 0.00050301 47.16574984
2 3500 1.50894735 0.00043113 64.20250079
2 4000 1.50881590 0.00037720 83.83946884
2 4500 1.50882444 0.00033529 106.11695076
2 5000 1.50875573 0.00030175 131.00877192
2 500 1.51121250 0.00302243 1.31190969
4 1000 1.51020562 0.00151021 2.80571396
4 1500 1.50959500 0.00100640 6.31820774
4 2000 1.50928453 0.00075464 11.20125320
4 2500 1.50905790 0.00060362 17.47077687
4 3000 1.50903813 0.00050301 25.21258986
4 3500 1.50894735 0.00043113 34.28484980
4 4000 1.50881590 0.00037720 44.79283562
4 4500 1.50882444 0.00033529 56.68481899
4 5000 1.50875573 0.00030175 70.19206046
4 500 1.51121250 0.00302243 0.70357156
8 1000 1.51020562 0.00151021 1.79423294
8 1500 1.50959500 0.00100640 3.94272600
8 2000 1.50928453 0.00075464 6.99818814
8 2500 1.50905790 0.00060362 10.92241577
8 3000 1.50903813 0.00050301 15.65530722
8 3500 1.50894735 0.00043113 21.40781569
8 4000 1.50881590 0.00037720 28.04420689
8 4500 1.50882444 0.00033529 35.37634095
8 5000 1.50875573 0.00030175 43.60996454
8 500 1.51121250 0.00302243 0.45956967
16 1000 1.51020562 0.00151021 1.05719179
16 1500 1.50959500 0.00100640 2.33463653
16 2000 1.50928453 0.00075464 4.37705298
16 2500 1.50905790 0.00060362 6.17544780
16 3000 1.50903813 0.00050301 10.00596921
16 3500 1.50894735 0.00043113 13.06252004
16 4000 1.50881590 0.00037720 17.18304695
16 4500 1.50882444 0.00033529 21.97291118
16 5000 1.50875573 0.00030175 27.06563124
16 500 1.51121250 0.00302243 0.26529016
2 1000 1.51020562 0.00151021 5.24272542
2 1500 1.50959500 0.00100640 11.79651945
2 2000 1.50928453 0.00075464 20.96037648
2 2500 1.50905790 0.00060362 32.75892528
2 3000 1.50903813 0.00050301 47.17496939
2 3500 1.50894735 0.00043113 64.24709780
2 4000 1.50881590 0.00037720 83.84557951
2 4500 1.50882444 0.00033529 106.12733812
2 5000 1.50875573 0.00030175 131.01635562
2 500 1.51121250 0.00302243 1.31209113
4 1000 1.51020562 0.00151021 2.80499651
4 1500 1.50959500 0.00100640 6.31675857
4 2000 1.50928453 0.00075464 11.19928187
4 2500 1.50905790 0.00060362 17.52488904
4 3000 1.50903813 0.00050301 25.33108184
4 3500 1.50894735 0.00043113 34.33947126
4 4000 1.50881590 0.00037720 44.88651908
4 4500 1.50882444 0.00033529 56.70016284
4 5000 1.50875573 0.00030175 69.92795784
4 500 1.51121250 0.00302243 0.71636987
8 1000 1.51020562 0.00151021 1.77163931
